name,pos,team,proj,fp_proj_4pt,rescore_delta
Emmett Johnson,RB,KC,32.1,31.9,0.2
Ty Chandler,RB,NO,31.6,31.6,0.0
DJ Giddens,RB,IND,31.5,31.6,-0.1
Mitchell Evans,TE,CAR,30.2,30.2,0.0
Nate Boerkircher,TE,JAX,29.8,29.6,0.2
Devontez Walker,WR,BAL,29.4,29.3,0.1
Connor Heyward,TE,LV,29.3,29.3,0.0
Jonah Coleman,RB,DEN,28.8,28.7,0.1
Zavion Thomas,WR,CHI,28.6,28.7,-0.1
Odell Beckham Jr.,WR,NYG,28.4,28.5,-0.1
Malachi Fields,WR,NYG,27.6,27.4,0.2
Ty Simpson,QB,LAR,27.6,23.4,4.2
Brashard Smith,RB,KC,27.3,27.3,0.0
Nick Vannett,TE,SEA,26.5,26.5,0.0
Carson Beck,QB,ARI,26.5,23.1,3.4
Drew Sample,TE,CIN,26.3,26.2,0.1
Dont'e Thornton Jr.,WR,LV,26.2,26.2,0.0
Ben Sinnott,TE,WAS,25.9,25.7,0.2
Phil Mafah,RB,DAL,25.6,25.6,0.0
Nate Adkins,TE,DEN,25.6,25.8,-0.2
Cade Stover,TE,HOU,25.6,25.5,0.1
Isaiah Bond,WR,CLE,25.5,25.4,0.1
Jackson Hawes,TE,BUF,25.2,25.4,-0.2
Elijah Mitchell,RB,PHI,25.1,25.1,0.0
Jam Miller,RB,NE,25.1,25.1,0.0
Jack Endries,TE,CIN,24.8,24.8,0.0
Zack Kuntz,TE,DAL,24.8,24.8,0.0
J.J. McCarthy,QB,MIN,24.7,22.5,2.2
Konata Mumpfield,WR,LAR,24.6,24.3,0.3
Luke Schoonmaker,TE,DAL,24.2,24.4,-0.2
Will Mallory,TE,IND,24.1,24.1,0.0
Anthony Richardson Sr.,QB,IND,24.0,21.0,3.0
Hayden Rucci,TE,SF,23.8,23.8,0.0
Jeremy McNichols,RB,WAS,23.8,23.8,0.0
Charlie Woerner,TE,ATL,23.6,23.5,0.1
Foster Moreau,TE,HOU,23.0,22.9,0.1
Grant Calcaterra,TE,PHI,23.0,23.1,-0.1
Teagan Quitoriano,TE,ARI,22.9,22.9,0.0
Salvon Ahmed,RB,CHI,22.9,22.9,0.0
Tanner Hudson,TE,CIN,22.8,22.7,0.1
Mack Hollins,WR,NE,22.7,22.6,0.1
Jarquez Hunter,RB,LAR,22.7,22.7,0.0
Israel Abanikanda,RB,DAL,22.6,22.6,0.0
Brenen Thompson,WR,LAC,22.6,22.6,0.0
Tanner Conner,TE,NYG,22.3,22.3,0.0
Dameon Pierce,RB,PHI,22.1,22.1,0.0
Audric Estime,RB,NO,22.1,22.1,0.0
KeAndre Lambert-Smith,WR,LAC,22.1,21.8,0.3
Demond Claiborne,RB,MIN,22.1,22.0,0.1
Will Shipley,RB,PHI,22.0,21.9,0.1
Carlos Washington Jr.,RB,MIA,21.9,21.9,0.0
Donovan Edwards,RB,MIA,21.9,21.9,0.0
Seth McGowan,RB,IND,21.8,21.6,0.2
Mo Alie-Cox,TE,IND,21.7,21.7,0.0
Najee Harris,RB,LAC,21.4,21.4,0.0
Marcus Mariota,QB,WAS,21.3,18.2,3.1
Thomas Fidone II,TE,NYG,21.2,21.2,0.0
Jared Wiley,TE,KC,21.1,21.1,0.0
Hunter Luepke,RB,DAL,20.7,20.7,0.0
Kaytron Allen,RB,WAS,20.0,19.9,0.1
Seydou Traore,TE,MIA,19.3,19.3,0.0
Kyle Williams,WR,NE,19.2,18.8,0.4
Durham Smythe,TE,BAL,18.3,18.7,-0.4
Nicholas Singleton,RB,TEN,18.1,17.5,0.6
Tahj Brooks,RB,CIN,18.1,18.3,-0.2
Tez Johnson,WR,TB,18.0,18.1,-0.1
Jimmy Horn Jr.,WR,CAR,18.0,18.1,-0.1
Devin Neal,RB,NO,18.0,18.0,0.0
Devin Singletary,RB,NYG,17.7,17.7,0.0
Jerome Ford,RB,WAS,17.1,17.1,0.0
Joe Royer,TE,CLE,16.3,16.0,0.3
Mitch Tinsley,WR,CIN,16.3,16.2,0.1
Max Klare,TE,LAR,16.2,16.1,0.1
Riley Leonard,QB,IND,15.5,13.8,1.7
Justin Joly,TE,DEN,15.3,15.0,0.3
Tyler Badie,RB,DEN,15.1,15.1,0.0
Oscar Delp,TE,NO,14.9,15.0,-0.1
Davis Mills,QB,HOU,14.8,12.7,2.1
Devin Culp,TE,TB,14.6,14.7,-0.1
Jalen Royals,WR,KC,14.6,14.8,-0.2
Tanner Koziol,TE,JAX,14.4,14.6,-0.2
Michael Burton,RB,CLE,14.3,13.8,0.5
Sam Roush,TE,CHI,14.1,14.3,-0.2
Payne Durham,TE,TB,14.1,14.4,-0.3
Shane Buechele,QB,BUF,14.0,12.0,2.0
Isaac Guerendo,RB,SF,13.8,13.9,-0.1
Tip Reiman,TE,ARI,13.8,13.8,0.0
Justin Fields,QB,KC,13.6,12.0,1.6
Will Levis,QB,TEN,13.4,11.4,2.0
Ian Thomas,TE,LV,13.2,13.1,0.1
Jarrett Stidham,QB,DEN,13.2,11.3,1.9
Trevor Etienne,RB,CAR,13.1,12.8,0.3
Josh Cuevas,TE,BAL,13.1,13.3,-0.2
Quinn Ewers,QB,MIA,13.1,11.5,1.6
Hunter Long,TE,JAX,13.0,13.0,0.0
Tyson Bagent,QB,CHI,13.0,11.4,1.6
Jameis Winston,QB,NYG,12.9,11.7,1.2
Malik Benson,WR,LV,12.7,12.5,0.2
Anthony Gould,WR,IND,12.6,12.8,-0.2
Tommy DeVito,QB,NE,12.5,10.6,1.9
Andrew Beck,RB,NYJ,12.5,12.5,0.0
Teddy Bridgewater,QB,DET,12.4,11.0,1.4
Greg Dortch,WR,DET,12.4,12.1,0.3
Alec Ingold,RB,LAC,12.2,12.4,-0.2
Tanner McKee,QB,PHI,12.2,10.3,1.9
Sam Howell,QB,DAL,12.1,10.2,1.9
Joe Flacco,QB,CIN,12.0,10.3,1.7
Mac Jones,QB,SF,12.0,10.5,1.5
Jake Browning,QB,TB,11.9,11.3,0.6
Andy Dalton,QB,PHI,11.9,9.9,2.0
Behren Morton,QB,NE,11.8,9.8,2.0
Tyler Huntley,QB,BAL,11.7,10.6,1.1
Chris Oladokun,QB,KC,11.7,9.7,2.0
Nick Mullens,QB,JAX,11.6,9.8,1.8
Trey Lance,QB,LAC,11.5,10.4,1.1
Kenny Pickett,QB,CAR,11.5,10.2,1.3
Tyrod Taylor,QB,GB,11.4,10.9,0.5
Adrian Martinez,QB,SF,11.3,9.3,2.0
Cole Payton,QB,PHI,11.2,9.2,2.0
Garrett Nussmeier,QB,KC,11.2,9.2,2.0
Spencer Rattler,QB,NO,11.1,10.2,0.9
Jalen Milroe,QB,SEA,11.0,9.0,2.0
Gardner Minshew II,QB,ARI,10.8,9.7,1.1
Drew Lock,QB,SEA,10.8,10.0,0.8
Kyle Allen,QB,BUF,10.5,9.1,1.4
Drew Allar,QB,PIT,10.5,9.3,1.2
Lucas Krull,TE,DEN,10.4,10.5,-0.1
Cade Klubnik,QB,NYJ,10.3,9.4,0.9
Bo Melton,WR,GB,10.0,10.0,0.0
Mitchell Trubisky,QB,TEN,9.8,9.0,0.8
Joe Milton III,QB,DAL,9.8,8.5,1.3
Cole Turner,TE,MIA,9.6,9.7,-0.1
Ben Skowronek,WR,PIT,9.0,9.0,0.0
Tyrell Shavers,WR,BUF,9.0,9.0,0.0
Derius Davis,WR,LAC,8.8,8.5,0.3
Adam Prentice,RB,DEN,8.6,8.4,0.2
Malachi Corley,WR,CLE,8.5,8.3,0.2
Connor Heyward,RB,LV,8.4,8.2,0.2
Xavier Smith,WR,LAR,8.0,8.1,-0.1
Luke Farrell,TE,SF,8.0,7.9,0.1
Will Howard,QB,PIT,7.9,6.7,1.2
Colbie Young,WR,CIN,7.9,8.0,-0.1
CJ Daniels,WR,LAR,7.8,7.9,-0.1
Max Bredeson,RB,MIN,7.8,7.4,0.4
Isaiah Williams,WR,NYJ,7.7,8.1,-0.4
CJ Dippre,TE,NE,7.5,7.2,0.3
Tyler Conklin,TE,DET,7.4,7.1,0.3
Brevyn Spann-Ford,TE,DAL,7.4,7.5,-0.1
Jonathan Mingo,WR,DAL,7.3,6.9,0.4
Ko Kieft,TE,TB,7.3,7.2,0.1
Kendre Miller,RB,NO,7.3,7.2,0.1
Darius Cooper,WR,PHI,7.2,6.8,0.4
Drew Ogletree,TE,IND,7.2,6.9,0.3
Eric Saubert,TE,SEA,6.9,6.9,0.0
Justin Watson,WR,HOU,6.9,7.0,-0.1
Barion Brown,WR,NO,6.8,6.7,0.1
Tai Felton,WR,MIN,6.8,6.9,-0.1
Laquon Treadwell,WR,IND,6.6,6.5,0.1
Johnny Mundt,TE,PHI,6.5,6.5,0.0
Brycen Tremayne,WR,CAR,6.5,6.3,0.2
Mason Rudolph,QB,PIT,6.5,5.5,1.0
Riley Nowakowski,RB,PIT,6.3,6.0,0.3
Reggie Virgil,WR,ARI,6.2,6.4,-0.2
Reggie Gilliam,RB,NE,6.2,5.9,0.3
Jack Stoll,TE,CLE,6.0,5.7,0.3
Brady Cook,QB,NYJ,5.4,4.9,0.5
