"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Khalil Shakir","BUF","WR50","1.1","5.5","0.0","72.4","748.4","4.2","0.8","135.6"
"Makai Lemon","PHI","WR51","1.5","7.0","0.0","56.8","798.2","4.6","1.3","134.0"
"Mark Andrews","BAL","TE12","0.0","0.0","0.0","58.7","608.7","7.4","0.3","134.0"
"Isaiah Likely","NYG","TE13","0.0","0.0","0.0","62.9","746.5","5.1","1.3","133.9"
"Romeo Doubs","NE","WR52","0.0","0.0","0.0","56.7","735.1","5.2","0.3","132.5"
"Rashid Shaheed","SEA","WR53","13.4","88.9","0.3","49.9","754.3","3.8","0.8","131.7"
"Jonathon Brooks","CAR","RB39","167.9","678.5","4.3","26.5","204.6","1.1","1.4","131.4"
"Jordan Mason","MIN","RB40","182.0","828.8","5.8","14.5","75.8","0.1","1.0","131.3"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","57.1","701.6","5.5","0.2","131.2"
"Blake Corum","LAR","RB41","167.7","801.8","6.1","11.9","80.4","0.2","0.7","130.6"
"Jake Ferguson","DAL","TE15","0.0","0.0","0.0","74.1","606.4","5.9","1.4","130.5"
"John Metchie III","CAR","WR54","3.0","-4.0","0.0","65.0","619.0","6.0","0.0","130.4"
"Matthew Golden","GB","WR55","8.2","40.9","0.1","55.4","746.0","3.9","0.4","129.4"
"Calvin Ridley","TEN","WR56","4.5","27.5","0.6","48.1","785.3","3.3","0.2","128.4"
"Hunter Henry","NE","TE16","0.0","0.0","0.0","56.3","651.7","5.4","0.1","125.5"
"Jalen Coker","CAR","WR57","0.0","0.0","0.0","57.6","699.0","4.6","0.8","124.6"
"Juwan Johnson","NO","TE17","0.0","0.0","0.0","64.5","727.0","3.3","1.3","121.9"
"Brenton Strange","JAC","TE18","0.0","0.0","0.0","60.0","658.4","4.3","0.2","121.4"
"Theo Wease Jr.","MIA","WR58","2.0","8.0","0.0","48.0","686.0","5.0","1.0","121.4"
"Tre Tucker","LV","WR59","11.2","52.9","0.2","50.1","633.7","3.8","0.1","116.9"
"Tank Dell","HOU","WR60","10.2","48.8","0.1","50.0","632.0","3.8","0.2","116.3"
